event,n_total,n_tradeable,sum_yes_ask,sum_no_taker,sum_no_maker,edge_taker,edge_maker,bid_depth_usd
Peru Presidential Election Winner,49,23,1.0380,22.4135,21.9740,-0.4135,0.0260,4904525
Eurovision 2026: Jury Winner,50,35,1.1470,34.6576,33.9780,-0.6576,0.0220,732937
Where will 2026 rank among the hottest years on record?,6,6,1.0470,5.0816,4.9820,-0.0816,0.0180,99723
Elon Musk # tweets April 28 - May 5  2026?,26,12,1.0440,11.2067,10.9870,-0.2067,0.0130,755512
2026 NBA Champion,30,8,1.0540,7.1278,6.9880,-0.1278,0.0120,2245111
NHL Calder Memorial Trophy Winner,102,30,1.0830,29.5678,28.9880,-0.5678,0.0120,139536
Daegu Mayoral Election Winner,28,12,1.0350,11.2078,10.9880,-0.2078,0.0120,202871
April Inflation US - Annual,11,11,1.0710,10.1888,9.9890,-0.1888,0.0110,76171
Next leader out of power before 2027?,25,25,1.0270,24.4708,23.9910,-0.4708,0.0090,648607
Croydon Mayoral Election Winner,29,7,1.0410,6.1108,5.9910,-0.1108,0.0090,70102
Balance of Power: 2026 Midterms,5,5,1.0400,4.0718,3.9920,-0.0718,0.0080,482034
Fed Decision in July?,5,5,1.0310,4.0729,3.9930,-0.0729,0.0070,503054
Brazil Presidential Election,32,15,1.0310,14.2729,13.9930,-0.2729,0.0070,4164025
Eurovision Winner 2026,50,35,1.0440,34.6729,33.9930,-0.6729,0.0070,16260790
Who will be confirmed as Fed Chair?,35,8,1.0090,7.1349,6.9950,-0.1349,0.0050,2661373
2026 FIFA World Cup Winner ,60,48,1.0530,47.9369,46.9970,-0.9369,0.0030,200585127
Highest grossing movie in 2026?,28,14,1.0500,13.2569,12.9970,-0.2569,0.0030,822712
Survivor 50 Winner,40,24,1.0510,23.4569,22.9970,-0.4569,0.0030,307051
Los Angeles Mayoral Election,15,11,1.0420,10.1969,9.9970,-0.1969,0.0030,164940
Next Prime Minister of Hungary,26,6,1.0040,5.0980,4.9980,-0.0980,0.0020,4097387
Scotland Parliamentary Election Winner,24,7,1.0100,6.1180,5.9980,-0.1180,0.0020,139312
Avg. # of ships transiting Strait of Hormuz end of April?,7,7,1.0160,6.1180,5.9980,-0.1180,0.0020,43647
Elon Musk # tweets May 1 - May 8  2026?,26,22,1.0750,21.4180,20.9980,-0.4180,0.0020,1248297
NFL Champion 2027,33,32,1.0790,31.6190,30.9990,-0.6190,0.0010,3428764
Where will the next US-Iran diplomatic meeting happen?,19,19,1.0240,18.3590,17.9990,-0.3590,0.0010,360349
Which continent will win the 2026 Fifa World Cup?,7,6,1.0260,5.0990,4.9990,-0.0990,0.0010,296646
Largest Company end of May?,29,8,1.0130,7.1390,6.9990,-0.1390,0.0010,655697
 Colombia Presidential Election 1st round winner?,23,17,1.0370,16.3200,16.0000,-0.3200,0.0000,1279844
2026 United Kingdom Local Elections: Party Winner,27,5,1.0110,4.0800,4.0000,-0.0800,0.0000,115006
Highest temperature in Los Angeles on May 4?,11,4,1.0180,3.0610,3.0010,-0.0610,-0.0010,11035
Wales Parliamentary Election Winner,22,5,1.0110,4.0810,4.0010,-0.0810,-0.0010,105094
NBA MVP ,33,3,1.0230,2.0420,2.0020,-0.0420,-0.0020,264502
Ohio Governor Republican Primary Winner,29,3,1.0020,2.0420,2.0020,-0.0420,-0.0020,128034
LALIGA Winner ,25,2,1.0180,1.0220,1.0020,-0.0220,-0.0020,222525
F1 Drivers' Champion,32,22,1.0290,21.4231,21.0030,-0.4231,-0.0030,12387980
How many Fed rate cuts in 2026?,13,13,1.0390,12.2431,12.0030,-0.2431,-0.0030,1050062
Where will Trump and Putin meet next?,15,15,1.0380,14.2841,14.0040,-0.2841,-0.0040,188873
Anthropic IPO Closing Market Cap,7,7,1.0160,6.1241,6.0040,-0.1241,-0.0040,103449
KY-04 Republican Primary Winner,20,3,1.0150,2.0441,2.0040,-0.0441,-0.0040,68480
UEFA Champions League Winner ,60,5,1.0600,4.0851,4.0050,-0.0851,-0.0050,1102700
Kentucky Republican Senate Primary Winner,22,6,1.0170,5.1051,5.0050,-0.1051,-0.0050,61057
F1 Constructors' Champion,12,11,1.0250,10.2051,10.0050,-0.2051,-0.0050,1100071
2026 NHL Stanley Cup Champion ,32,8,1.0640,7.1461,7.0060,-0.1461,-0.0060,617393
Which party will gain most seats in Russian Parliamentary Election?,34,7,1.0140,6.1261,6.0060,-0.1261,-0.0060,384783
Which company has best AI model end of June?,19,15,1.0620,14.2861,14.0060,-0.2861,-0.0060,959546
Which party wins control of the most London borough councils?,27,5,1.0360,4.0861,4.0060,-0.0861,-0.0060,71294
Highest temperature in Paris on May 5?,11,6,1.0520,5.1061,5.0060,-0.1061,-0.0060,14292
2026 Seoul Mayoral Election Winner,66,14,1.0240,13.2682,13.0080,-0.2682,-0.0080,3812051
US x Iran diplomatic meeting by...?,20,4,1.0390,3.0682,3.0080,-0.0682,-0.0080,302338
Largest Company end of June?,28,7,1.0360,6.1282,6.0080,-0.1282,-0.0080,1195580
Maine Democratic Senate Primary Winner,29,6,0.9970,5.1082,5.0080,-0.1082,-0.0080,108104
English Premier League – 2nd Place ,25,3,1.0490,2.0492,2.0090,-0.0492,-0.0090,37526
Fed Decision in June?,5,5,1.0050,4.0892,4.0090,-0.0892,-0.0090,2176679
Bitcoin price on May 5?,11,11,1.0650,10.2092,10.0090,-0.2092,-0.0090,210500
Elon Musk # tweets May 4 - May 6  2026?,10,10,1.0260,9.1892,9.0090,-0.1892,-0.0090,182772
English Premier League Winner ,25,2,1.0280,1.0302,1.0100,-0.0302,-0.0100,178431
Which party will win the Senate in 2026?,9,2,1.0100,1.0302,1.0100,-0.0302,-0.0100,218257
2025-2026 FA Cup Winner,33,2,1.0400,1.0302,1.0100,-0.0302,-0.0100,9009
Maine Senate Election Winner,13,2,1.0100,1.0302,1.0100,-0.0302,-0.0100,46455
Michigan Senate Election Winner,13,2,1.0100,1.0302,1.0100,-0.0302,-0.0100,10495
WI-02 House Election Winner,8,2,1.0160,1.0322,1.0120,-0.0322,-0.0120,8657
Which company has the best AI model end of May?,29,15,1.0230,14.2922,14.0120,-0.2922,-0.0120,1757660
Florida Governor Republican Primary Winner,23,7,1.0300,6.1333,6.0130,-0.1333,-0.0130,109782
Nebraska Governor Republican Primary Winner,19,7,1.0070,6.1333,6.0130,-0.1333,-0.0130,49521
NHL: Eastern Conference Champion,17,4,1.0660,3.0743,3.0140,-0.0743,-0.0140,71194
Nebraska Senate Election Winner  ,13,3,1.0180,2.0543,2.0140,-0.0543,-0.0140,18392
Russia Parliamentary Election Winner,34,7,1.0110,6.1343,6.0140,-0.1343,-0.0140,285407
French Ligue 1: Winner ,24,2,1.0130,1.0363,1.0160,-0.0363,-0.0160,9641
IEM Cologne Major 2026 Winner,33,32,1.1840,31.6373,31.0170,-0.6373,-0.0170,497362
UEFA Europa League: Winner ,57,4,1.0610,3.0773,3.0170,-0.0773,-0.0170,177250
Texas Republican Senate Primary Winner,20,5,1.0050,4.0973,4.0170,-0.0973,-0.0170,106417
2026 South Korean Local Elections: Party Winner,12,5,0.9960,4.0973,4.0170,-0.0973,-0.0170,248118
Next Secretary-General of the United Nations,31,4,1.0430,3.0784,3.0180,-0.0784,-0.0180,14684
2026 Taiwanese Local Elections: Party Winner,30,3,1.0230,2.0584,2.0180,-0.0584,-0.0180,23991
NBA Coach of the Year Winner,56,3,1.0550,2.0584,2.0180,-0.0584,-0.0180,60285
2026 Busan Mayoral Election Winner,65,12,1.0570,11.2394,11.0190,-0.2394,-0.0190,141758
Which party will win the House in 2026?,9,2,1.0000,1.0404,1.0200,-0.0404,-0.0200,231827
Sweden Parliamentary Election Winner,36,3,1.0410,2.0614,2.0210,-0.0614,-0.0210,36351
Who will be the next Prime Minister of Israel after the next election?,28,17,1.0280,16.3414,16.0210,-0.3414,-0.0210,761498
Ballon d'Or Winner 2026,89,24,1.1670,23.4824,23.0220,-0.4824,-0.0220,647663
MS-01 House Election Winner,8,2,0.9900,1.0424,1.0220,-0.0424,-0.0220,8749
Next Prime Minister of Bulgaria,37,5,1.0430,4.1035,4.0230,-0.1035,-0.0230,42892
FIFA World Cup Group C Winner,5,4,1.0210,3.0835,3.0230,-0.0835,-0.0230,94175
NBA Playoffs:  Western Conference Champion ,16,4,1.0380,3.0845,3.0240,-0.0845,-0.0240,234379
Next French Presidential Election,128,36,1.0490,35.7255,35.0250,-0.7255,-0.0250,4946063
Chungcheongnam Province Governor Election Winner,25,9,1.0550,8.1855,8.0250,-0.1855,-0.0250,152996
Texas Senate Election Matchup,7,7,1.0220,6.1455,6.0250,-0.1455,-0.0250,34917
# of views of next MrBeast video on week 1?,7,7,1.0490,6.1455,6.0250,-0.1455,-0.0250,94320
Next Prime Minister of Denmark?,33,11,1.0000,10.2265,10.0260,-0.2265,-0.0260,165542
ECB Interest Rates: June 2026,5,4,1.0290,3.0865,3.0260,-0.0865,-0.0260,32111
#1 song on US Spotify this week? (May 8),22,9,1.0020,8.1865,8.0260,-0.1865,-0.0260,24133
China Annual GDP Growth 2026,10,10,1.0750,9.2075,9.0270,-0.2075,-0.0270,123297
Largest Company end of December 2026?,28,8,1.0520,7.1675,7.0270,-0.1675,-0.0270,567377
Highest temperature in Seoul on May 5?,11,5,1.0360,4.1075,4.0270,-0.1075,-0.0270,95804
How many large volcano eruptions (VEI ≥4) in 2026?,6,6,1.0120,5.1286,5.0280,-0.1286,-0.0280,38871
Georgia Governor Democratic Primary Winner,34,7,1.0380,6.1486,6.0280,-0.1486,-0.0280,93650
Fannie Mae IPO Closing Market Cap,7,7,1.0750,6.1496,6.0290,-0.1496,-0.0290,13750
Harvey Weinstein prison time?,6,6,1.0620,5.1306,5.0300,-0.1306,-0.0300,7680
2026 Women's French Open Winner,74,45,1.1970,44.9106,44.0300,-0.9106,-0.0300,752449
Will Trump visit China on...?,32,29,1.0640,28.5906,28.0300,-0.5906,-0.0300,334447
NBA Playoffs: Eastern Conference Champion ,16,4,1.0050,3.0926,3.0320,-0.0926,-0.0320,195239
FIFA World Cup Group H Winner,5,4,1.0260,3.0937,3.0330,-0.0937,-0.0330,82384
Süper Lig Winner,19,2,1.0380,1.0547,1.0340,-0.0547,-0.0340,12380
English Premier League – 3rd Place ,25,4,1.0730,3.0957,3.0350,-0.0957,-0.0350,18048
When will Jerome Powell depart as Fed Chair?,9,9,1.0410,8.1957,8.0350,-0.1957,-0.0350,45020
Which company has the #1 AI model end of May? (Style Control On),29,15,1.0190,14.3167,14.0360,-0.3167,-0.0360,171183
Highest temperature in London on May 5?,11,10,1.0370,9.2167,9.0360,-0.2167,-0.0360,36434
2026 Men's French Open Winner,67,27,1.0490,26.5567,26.0360,-0.5567,-0.0360,1849543
Farrer By-Election Winner,30,5,1.0260,4.1177,4.0370,-0.1177,-0.0370,40852
Next US x Iran diplomatic meeting on...?,20,8,1.0060,7.1788,7.0380,-0.1788,-0.0380,205264
White House # posts April 28 - May 5  2026?,11,4,1.0410,3.0988,3.0380,-0.0988,-0.0380,38365
NHL: Western Conference Champion,17,4,1.0520,3.0998,3.0390,-0.0998,-0.0390,109616
Presidential Election Winner 2028,128,36,0.9980,35.7408,35.0400,-0.7408,-0.0400,27866732
FIFA World Cup Group F Winner,5,4,1.0290,3.1008,3.0400,-0.1008,-0.0400,85378
OK-03 House Election Winner,8,2,0.9750,1.0608,1.0400,-0.0608,-0.0400,19387
2026 Men’s Wimbledon Winner,67,39,1.1720,38.8028,38.0420,-0.8028,-0.0420,916596
Wisconsin Governor Republican Primary Winner,24,8,1.2110,7.1869,7.0460,-0.1869,-0.0460,26154
Fed decisions (Mar-Jun),9,2,1.0330,1.0679,1.0470,-0.0679,-0.0470,40351
2026 IPL Champion,11,9,1.1000,8.2079,8.0470,-0.2079,-0.0470,33343
Armenia Parliamentary Election Winner,36,2,1.0310,1.0690,1.0480,-0.0690,-0.0480,24902
Venezuela leader end of 2026?,57,15,0.9990,14.3300,14.0490,-0.3300,-0.0490,919744
California Governor Election Winner,45,23,0.9940,22.4900,22.0490,-0.4900,-0.0490,2767370
Virginia Redistricting Referendum: Margin of Victory,7,1,1.0010,0.0510,0.0500,-0.0510,-0.0500,8181
ACA credits extended & House Winner 2026?,5,2,0.9920,1.0710,1.0500,-0.0710,-0.0500,7985
2026 Gyeonggi Province Gubernatorial Election Winner,68,11,1.1500,10.2510,10.0500,-0.2510,-0.0500,168858
Democratic Presidential Nominee 2028,128,44,0.9960,43.9120,43.0510,-0.9120,-0.0510,53700506
Next Prime Minister of Slovenia,31,8,1.0030,7.1930,7.0520,-0.1930,-0.0520,116850
SpaceX IPO Closing Market Cap (Lowest Strikes),8,5,1.0000,4.1351,4.0540,-0.1351,-0.0540,66198
B.C. Conservative Party Leadership Election Winner,36,9,1.0620,8.2151,8.0540,-0.2151,-0.0540,66333
AZ-01 Republican Primary Winner,24,13,1.0730,12.2981,12.0570,-0.2981,-0.0570,48869
Donald Trump # Truth Social posts April 28 - May 5  2026?,11,7,1.0110,6.1792,6.0580,-0.1792,-0.0580,94374
How many ships transit the Strait of Hormuz week of Apr 27?,7,6,1.0260,5.1612,5.0600,-0.1612,-0.0600,24680
CA-15 House Election Winner,8,1,0.9980,0.0612,0.0600,-0.0612,-0.0600,4295
Dublin-Central By-Election Winner,39,12,1.1370,11.2894,11.0680,-0.2894,-0.0680,52682
What will SpaceX's public ticker be?,19,7,1.0320,6.1904,6.0690,-0.1904,-0.0690,81173
Which candidates advance to 2026 Peru presidential runoff?,10,10,1.0200,9.2514,9.0700,-0.2514,-0.0700,54199
Highest temperature in Shanghai on May 5?,11,8,1.0490,7.2124,7.0710,-0.2124,-0.0710,191445
Minnesota Republican Senate Primary Winner,19,12,1.1100,11.2934,11.0720,-0.2934,-0.0720,37007
Eurovision 2026: Televote Winner,50,33,1.0210,32.7165,32.0750,-0.7165,-0.0750,608443
Highest temperature in Hong Kong on May 5?,11,10,1.0630,9.2596,9.0780,-0.2596,-0.0780,75095
Richest person on December 31  2026?,37,5,1.0560,4.1616,4.0800,-0.1616,-0.0800,173645
How many different countries will the US conduct military action against in 2026?,16,9,1.0800,8.2436,8.0820,-0.2436,-0.0820,67484
