question,player,stat,line,liquidity,volume,yes_won,end_date
Donovan Mitchell: Points O/U 25.5,Donovan Mitchell,Points,25.5,0.0,4538.500610000001,False,2026-05-03T04:00:00+00:00
RJ Barrett: Points O/U 23.5,RJ Barrett,Points,23.5,0.0,1492.5768389999996,False,2026-05-03T04:00:00+00:00
Scottie Barnes: Points O/U 21.5,Scottie Barnes,Points,21.5,0.0,4288.616413,True,2026-05-03T04:00:00+00:00
James Harden: Points O/U 20.5,James Harden,Points,20.5,0.0,2355.691737,False,2026-05-03T04:00:00+00:00
Evan Mobley: Points O/U 15.5,Evan Mobley,Points,15.5,0.0,1697.7289580000001,False,2026-05-03T04:00:00+00:00
Ja'Kobe Walter: Points O/U 11.5,Ja'Kobe Walter,Points,11.5,0.0,613.7478189999999,True,2026-05-03T04:00:00+00:00
Evan Mobley: Rebounds O/U 9.5,Evan Mobley,Rebounds,9.5,0.0,416.1725379999999,False,2026-05-03T04:00:00+00:00
Scottie Barnes: Rebounds O/U 7.5,Scottie Barnes,Rebounds,7.5,0.0,1037.609458,True,2026-05-03T04:00:00+00:00
RJ Barrett: Rebounds O/U 6.5,RJ Barrett,Rebounds,6.5,0.0,2197.0461369999994,False,2026-05-03T04:00:00+00:00
Donovan Mitchell: Rebounds O/U 4.5,Donovan Mitchell,Rebounds,4.5,0.0,1363.6371710000005,False,2026-05-03T04:00:00+00:00
James Harden: Rebounds O/U 4.5,James Harden,Rebounds,4.5,0.0,995.777446,True,2026-05-03T04:00:00+00:00
Ja'Kobe Walter: Rebounds O/U 3.5,Ja'Kobe Walter,Rebounds,3.5,0.0,140.98229199999997,False,2026-05-03T04:00:00+00:00
Scottie Barnes: Assists O/U 7.5,Scottie Barnes,Assists,7.5,0.0,284.71364100000005,False,2026-05-03T04:00:00+00:00
James Harden: Assists O/U 6.5,James Harden,Assists,6.5,0.0,468.0912140000001,False,2026-05-03T04:00:00+00:00
Jamal Shead: Assists O/U 6.5,Jamal Shead,Assists,6.5,0.0,105.5749,True,2026-05-03T04:00:00+00:00
Donovan Mitchell: Assists O/U 4.5,Donovan Mitchell,Assists,4.5,0.0,456.61888500000003,False,2026-05-03T04:00:00+00:00
RJ Barrett: Assists O/U 3.5,RJ Barrett,Assists,3.5,0.0,91.34389,True,2026-05-03T04:00:00+00:00
Evan Mobley: Assists O/U 2.5,Evan Mobley,Assists,2.5,0.0,77.430143,True,2026-05-03T04:00:00+00:00
Jarrett Allen: Points O/U 3.5,Jarrett Allen,Points,3.5,0.0,168.613153,True,2026-05-03T04:00:00+00:00
Brandon Ingram: Points O/U 3.5,Brandon Ingram,Points,3.5,0.0,1901.5591100000001,False,2026-05-03T04:00:00+00:00
Jakob Poeltl: Points O/U 1.5,Jakob Poeltl,Points,1.5,0.0,50.0,True,2026-05-03T04:00:00+00:00
Jakob Poeltl: Rebounds O/U 1.5,Jakob Poeltl,Rebounds,1.5,0.0,155.942833,True,2026-05-03T04:00:00+00:00
Max Strus: Points O/U 2.5,Max Strus,Points,2.5,0.0,99.991,True,2026-05-03T04:00:00+00:00
Jarrett Allen: Rebounds O/U 1.5,Jarrett Allen,Rebounds,1.5,0.0,387.19919000000016,True,2026-05-03T04:00:00+00:00
Max Strus: Rebounds O/U 1.5,Max Strus,Rebounds,1.5,0.0,100.4859,True,2026-05-03T04:00:00+00:00
Brandon Ingram: Rebounds O/U 1.5,Brandon Ingram,Rebounds,1.5,0.0,4930.5381099999995,False,2026-05-03T04:00:00+00:00
Brandon Ingram: Assists O/U 0.5,Brandon Ingram,Assists,0.5,0.0,11624.133673,False,2026-05-03T04:00:00+00:00
Ja'Kobe Walter: Assists O/U 0.5,Ja'Kobe Walter,Assists,0.5,0.0,199.9899,True,2026-05-03T04:00:00+00:00
Max Strus: Assists O/U 0.5,Max Strus,Assists,0.5,0.0,49.9949,True,2026-05-03T04:00:00+00:00
Jarrett Allen: Assists O/U 0.5,Jarrett Allen,Assists,0.5,0.0,1925.5982430000004,True,2026-05-03T04:00:00+00:00
Jalen Suggs: Assists O/U 4.5,Jalen Suggs,Assists,4.5,0.0,11099.876721999999,False,2026-05-03T04:00:00+00:00
Desmond Bane: Assists O/U 3.5,Desmond Bane,Assists,3.5,0.0,229.86340500000003,False,2026-05-03T04:00:00+00:00
Jalen Duren: Assists O/U 1.5,Jalen Duren,Assists,1.5,0.0,282.18685100000005,True,2026-05-03T04:00:00+00:00
Cade Cunningham: Points O/U 28.5,Cade Cunningham,Points,28.5,0.0,3701.4091940000003,True,2026-05-03T04:00:00+00:00
Paolo Banchero: Points O/U 23.5,Paolo Banchero,Points,23.5,0.0,2874.4809849999992,True,2026-05-03T04:00:00+00:00
Desmond Bane: Points O/U 18.5,Desmond Bane,Points,18.5,0.0,729.250051,False,2026-05-03T04:00:00+00:00
Tobias Harris: Points O/U 17.5,Tobias Harris,Points,17.5,0.0,1094.242427,True,2026-05-03T04:00:00+00:00
Jalen Duren: Points O/U 13.5,Jalen Duren,Points,13.5,0.0,1849.877506,True,2026-05-03T04:00:00+00:00
Jalen Suggs: Points O/U 12.5,Jalen Suggs,Points,12.5,0.0,213.66925700000002,False,2026-05-03T04:00:00+00:00
Jalen Duren: Rebounds O/U 9.5,Jalen Duren,Rebounds,9.5,0.0,1048.923857,True,2026-05-03T04:00:00+00:00
Paolo Banchero: Rebounds O/U 8.5,Paolo Banchero,Rebounds,8.5,0.0,617.784125,True,2026-05-03T04:00:00+00:00
Tobias Harris: Rebounds O/U 6.5,Tobias Harris,Rebounds,6.5,0.0,2823.4214430000006,True,2026-05-03T04:00:00+00:00
Desmond Bane: Rebounds O/U 3.5,Desmond Bane,Rebounds,3.5,0.0,1258.66887,False,2026-05-03T04:00:00+00:00
Jalen Suggs: Rebounds O/U 3.5,Jalen Suggs,Rebounds,3.5,0.0,183.303605,True,2026-05-03T04:00:00+00:00
Cade Cunningham: Rebounds O/U 5.5,Cade Cunningham,Rebounds,5.5,0.0,775.896753,False,2026-05-03T04:00:00+00:00
Cade Cunningham: Assists O/U 8.5,Cade Cunningham,Assists,8.5,0.0,878.5534759999999,True,2026-05-03T04:00:00+00:00
Paolo Banchero: Assists O/U 5.5,Paolo Banchero,Assists,5.5,0.0,693.917281,True,2026-05-03T04:00:00+00:00
Duncan Robinson: Points O/U 2.5,Duncan Robinson,Points,2.5,0.0,199.99,True,2026-05-03T04:00:00+00:00
Wendell Carter Jr.: Points O/U 2.5,Wendell Carter Jr.,Points,2.5,0.0,99.991,True,2026-05-03T04:00:00+00:00
Ausar Thompson: Points O/U 2.5,Ausar Thompson,Points,2.5,0.0,50.0,True,2026-05-03T04:00:00+00:00
Ausar Thompson: Rebounds O/U 1.5,Ausar Thompson,Rebounds,1.5,0.0,126.41719999999998,True,2026-05-03T04:00:00+00:00
Wendell Carter Jr.: Rebounds O/U 1.5,Wendell Carter Jr.,Rebounds,1.5,0.0,99.991,True,2026-05-03T04:00:00+00:00
Duncan Robinson: Rebounds O/U 0.5,Duncan Robinson,Rebounds,0.5,0.0,126.87,True,2026-05-03T04:00:00+00:00
Ausar Thompson: Assists O/U 0.5,Ausar Thompson,Assists,0.5,0.0,117.49100000000001,True,2026-05-03T04:00:00+00:00
Tobias Harris: Assists O/U 0.5,Tobias Harris,Assists,0.5,0.0,99.991,True,2026-05-03T04:00:00+00:00
Wendell Carter Jr.: Assists O/U 0.5,Wendell Carter Jr.,Assists,0.5,0.0,100.0,True,2026-05-03T04:00:00+00:00
Duncan Robinson: Assists O/U 0.5,Duncan Robinson,Assists,0.5,0.0,262.5949,True,2026-05-03T04:00:00+00:00
Ausar Thompson: Points O/U 1.5,Ausar Thompson,Points,1.5,0.0,78.52229,True,2026-05-03T04:00:00+00:00
Jamal Cain: Rebounds O/U 0.5,Jamal Cain,Rebounds,0.5,0.0,100.0,True,2026-05-03T04:00:00+00:00
Jamal Cain: Assists O/U 0.5,Jamal Cain,Assists,0.5,0.0,692.1201679999999,True,2026-05-03T04:00:00+00:00
Joel Embiid: Points O/U 26.5,Joel Embiid,Points,26.5,0.0,3105.1073060000003,True,2026-05-02T04:00:00+00:00
Tyrese Maxey: Points O/U 23.5,Tyrese Maxey,Points,23.5,0.0,3399.3271090000003,True,2026-05-02T04:00:00+00:00
Jayson Tatum: Points O/U 6.5,Jayson Tatum,Points,6.5,0.0,4864.347521000001,False,2026-05-02T04:00:00+00:00
Jaylen Brown: Points O/U 6.5,Jaylen Brown,Points,6.5,0.0,1859.2609759999998,True,2026-05-02T04:00:00+00:00
Sam Hauser: Points O/U 2.5,Sam Hauser,Points,2.5,0.0,140.55100000000002,True,2026-05-02T04:00:00+00:00
Neemias Queta: Points O/U 2.5,Neemias Queta,Points,2.5,0.0,123.0,True,2026-05-02T04:00:00+00:00
Paul George: Rebounds O/U 1.5,Paul George,Rebounds,1.5,0.0,105.7322,True,2026-05-02T04:00:00+00:00
VJ Edgecombe: Rebounds O/U 1.5,VJ Edgecombe,Rebounds,1.5,0.0,181.92219999999998,True,2026-05-02T04:00:00+00:00
Tyrese Maxey: Rebounds O/U 0.5,Tyrese Maxey,Rebounds,0.5,0.0,1254.4564759999998,True,2026-05-02T04:00:00+00:00
Sam Hauser: Rebounds O/U 0.5,Sam Hauser,Rebounds,0.5,0.0,139.97740000000002,True,2026-05-02T04:00:00+00:00
Tyrese Maxey: Assists O/U 6.5,Tyrese Maxey,Assists,6.5,0.0,1216.2277749999998,True,2026-05-02T04:00:00+00:00
Neemias Queta: Assists O/U 0.5,Neemias Queta,Assists,0.5,0.0,161.79989,True,2026-05-02T04:00:00+00:00
Kelly Oubre Jr.: Assists O/U 0.5,Kelly Oubre Jr.,Assists,0.5,0.0,176.331719,True,2026-05-02T04:00:00+00:00
Sam Hauser: Assists O/U 0.5,Sam Hauser,Assists,0.5,0.0,150.02100000000002,True,2026-05-02T04:00:00+00:00
Paul George: Points O/U 15.5,Paul George,Points,15.5,0.0,1777.180934,False,2026-05-02T04:00:00+00:00
